iter	Passed	Remaining
0	2	2768
1	6	3476
2	12	4000
3	16	4180
4	21	4371
5	25	4297
6	30	4287
7	34	4262
8	38	4278
9	43	4296
10	47	4308
11	53	4373
12	57	4389
13	62	4407
14	68	4499
15	73	4500
16	77	4499
17	81	4473
18	86	4487
19	91	4481
20	96	4487
21	101	4495
22	105	4487
23	110	4489
24	114	4472
25	119	4468
26	124	4472
27	128	4472
28	133	4472
29	137	4459
30	142	4456
31	147	4448
32	151	4443
33	156	4433
34	160	4429
35	165	4439
36	170	4434
37	175	4434
38	179	4431
39	184	4436
40	189	4443
41	194	4444
42	200	4453
43	204	4450
44	209	4437
45	213	4435
46	218	4435
47	223	4426
48	227	4423
49	235	4470
50	240	4482
51	249	4545
52	254	4556
53	260	4561
54	265	4558
55	269	4545
56	274	4534
57	279	4544
58	285	4555
59	290	4549
60	295	4553
61	300	4543
62	305	4539
63	310	4538
64	315	4531
65	319	4524
66	324	4521
67	329	4519
68	334	4515
69	339	4507
70	344	4504
71	348	4495
72	353	4485
73	357	4473
74	362	4470
75	366	4458
76	371	4449
77	375	4442
78	380	4434
79	385	4429
80	389	4421
81	394	4419
82	400	4420
83	404	4412
84	409	4411
85	414	4402
86	418	4396
87	424	4397
88	428	4386
89	432	4373
90	436	4361
91	441	4352
92	444	4339
93	448	4326
94	452	4314
95	457	4306
96	461	4294
97	465	4284
98	469	4275
99	480	4321
100	485	4319
101	489	4308
102	492	4291
103	496	4275
104	499	4259
105	503	4245
106	507	4236
107	511	4220
108	514	4205
109	518	4192
110	521	4176
111	524	4162
112	528	4147
113	531	4133
114	535	4119
115	538	4105
116	542	4092
117	545	4079
118	549	4068
119	552	4055
120	556	4042
121	560	4031
122	563	4020
123	568	4019
124	572	4006
125	575	3994
126	579	3983
127	583	3975
128	587	3967
129	591	3959
130	595	3951
131	599	3943
132	603	3934
133	607	3926
134	611	3918
135	615	3910
136	619	3901
137	623	3893
138	628	3890
139	632	3886
140	637	3881
141	640	3872
142	645	3869
143	651	3873
144	656	3869
145	660	3865
146	666	3865
147	670	3860
148	674	3852
149	679	3849
150	683	3840
151	686	3831
152	690	3824
153	695	3818
154	698	3810
155	702	3803
156	707	3797
157	711	3793
158	716	3789
159	720	3782
160	724	3776
161	729	3774
162	733	3768
163	738	3763
164	743	3762
165	747	3754
166	751	3748
167	755	3741
168	759	3735
169	763	3728
170	767	3722
171	771	3716
172	776	3711
173	782	3715
174	787	3712
175	796	3727
176	801	3724
177	805	3718
178	809	3715
179	814	3708
180	818	3702
